Image Number,Grid Detection (s),Number Detection (s),Solve Sudoku (s),Total Time (s)
1,0.077,0.66,0.0018,0.87
2,0.16,0.57,0.0019,0.94
3,0.13,0.57,0.0019,0.9
4,0.043,0.7,0.0018,0.76
5,0.043,0.64,0.0019,0.71
6,0.049,0.75,0.0018,0.84
7,0.038,0.56,0.002,0.6
8,0.038,0.57,0.0019,0.62
9,0.039,0.69,0.0019,0.74
10,0.038,0.53,0.0022,0.58
11,0.04,0.6,0.0019,0.65
12,0.04,0.81,0.0018,0.87
13,0.04,0.6,0.0018,0.65
14,0.036,0.48,0.0016,0.53
15,0.038,0.74,0.002,0.78
16,0.036,0.6,0.0019,0.64
17,0.036,0.81,0.0018,0.85
18,0.04,0.53,0.0018,0.58
19,0.036,0.41,0.0021,0.45
20,0.037,0.62,0.0018,0.66
21,0.038,0.62,0.0018,0.67
22,0.038,0.62,0.0019,0.67
23,0.037,0.65,0.0019,0.7
24,0.037,0.73,0.0019,0.77
25,0.25,0.61,0.0019,1.07
26,0.16,0.59,0.0019,0.96
27,0.13,0.57,0.0019,0.9
28,0.47,0.58,0.002,1.25
29,0.27,0.57,0.0018,1.04
30,0.19,0.71,0.002,1.1
31,0.038,0.64,0.002,0.69
32,0.13,0.79,0.0018,1.05
33,0.042,0.63,0.0034,0.69
34,0.039,0.87,0.0018,0.92
35,0.04,0.41,0.002,0.46
36,0.037,0.81,0.0019,0.85
37,0.039,0.55,0.002,0.6
38,0.038,0.55,0.0021,0.59
39,0.037,0.58,0.0019,0.62
40,0.039,0.68,0.0019,0.73
Mean Time (s),0.078325,0.63,0.001935,0.76375